Record ID,Company name,Company Domain Name,Phone Number,Company owner,Lead Status,Clay score,Country,Associated Note,Current Software ,Current Software Contract End Date,Core service,Industry_,Accounting software (US),Accounting Software (UK and ANZ),Accounting Software UK,Client Use Case,Associated Note IDs
25503707533,Washington Fire Safety Supply Co,washingtonfiresafety.com, +1 360-676-2634,Sophie Parker,On hold deal,100,United States,,Service Trade,,Service & Maintenance,Fire,,,,,
25178955039,Phoenix Fire Systems,phoenixfiresystems.ca,(416) 742-7222,Jack Young,On hold deal,40,Canada,,Jobber,,Service & Maintenance,Fire,QB online,,,,
25114828589,Fairfield Fire Protection,fairfieldfireprotection.com, +1 740-974-0363,Paxton Rice,On hold deal,105,United States,,,,Service & Maintenance,Fire,,,,,
22998671275,Fyr Fyter Inc,fyrfyterinc.com, +1 239-481-5737,Tommy Haake,On hold deal,80,United States,,,,Service & Maintenance,Fire & Security,,,,,
22699315369,Ironsmith,ironsmithfire.com, +1 901-560-4766,Paxton Rice,On hold deal,95,United States,,Inspect Point,,50/50 ,Fire,,,,,
22699430205,"Crawford Sprinkler Co of SC, Inc.",crawfordsprinkler-sc.com, +1 803-438-2994,Jack Young,On hold deal,80,United States,,,,50/50 ,Fire with Security,,,,,
22396625947,Legacy Fire Protection,lfp-1.com,(574) 293-0400,Jack Young,On hold deal,105,United States,Blake prefers Texting,Building Reports,,50/50 ,Fire,QB online,,,,65847989634
22248738307,Cherokey Fire Protection,www.cherokeyfireprotection.com, +1 713-856-5612,Daniela Richter,On hold deal,115,United States,,,,50/50 ,Other,,,,,
21575949369,"Fire Defense Equipment Company, Inc.",firedefense.com, +1 248-549-8113,Scott MacRitchie,On hold deal,110,United States,,,,Service & Maintenance,Fire,Foundation,,,,
21576070055,Blair Fire Protection,blairfireprotection.com, +1 414-460-4006,Paxton Rice,On hold deal,105,United States,"User Count: 19 Technicians 10 full time 15 floaters (once a week) accounting/finance/account managers -10 of those could use 1 5 floaters 35 users total, 19 techs, 10 office, 35x129 $4515 Sage Intact",Service Trade,,50/50 ,Fire,Sage Intact,,,,65945180457
6527466598,Foster Fire Protection,forsters-fire-protection.business.site,,,On hold deal,35,United States,,,,,Fire,,,,,
21659794050,JCI Fire Protection,johnsoncontrols.com, +1 613-526-0435,Anthony Del Mastro,On hold deal,85,Canada,"Soft information: < Add information here about the business e.g. how many years, location, the roles of people etc.> Confirm the 4 x s’s. Software: salesforce.com Services (core): HVAC Size: Struggles: Other Key information: What is the main goal of introducing new software? (grow vs becoming more efficient) Tender DA19 What would your dream software be able to do? What are the consequences if the business does not jump onto a new software?;REQUIREMENTS FOR TENDER (1) Output and open API. (2) Tracking, barcoding for KPI'S. Parent child relationship Apple iPads 20 overall Tender is written around DA19. Simpro and Firemate is purely designed around just Fire. SALESFORCE. CONSEQUENCES WITH NOT MOVING - Everything is done manual through excel. Excel, service max on the ground, salesforce, iscarlett CURRENT CHALLENGES Doesn't work offline;Very positive, Tim invited his manager and they have added Reece Mulligan into view. Ash has advised this is the workflow.;Nothing will happen as they didnt win the contract to get us in, way to invested with salesforce;Jaala - Service delivery manager. Excel spreadsheet and file log sheeT. Using servicemax slightly. Client wanting access to a portal. Iscala for accounting. service & maintenance -   just for for the fire side to begin. size - 7 or 8 staff Jack is the decision maker. Android PROBLEMS No dicumentation manager. no client portal. double labour B - $900 WOULD BE FINE A - Jack N - T - ASAP (1ST Jan);Currently on Pronto & Astea Servicemax for the APAC region. Fire NZ - 450 Staff. 14 Branches. Fire Maintenance. Helen Cj=ho i Director MJ - IT with Helen. Nathan Scroop - Pacific manager for service Michar pricousty - manager for NZ (Wellington) Jack - QLD Helen - Hong Kong - business partner CAB OF THE RANK IS NZ astea maintenance software. No realtime activity APAC - Service Max EFFICIENCY, COMPLIANCE,;Helen or Nathan will be the signers - end decision makers. Positives from MJ is another IT expert based out of Hong Kong   14 branches Have two people approving PO's What happens when recurring appointments fall on a Public holiday chris21 payroll - TIMELINE = Everything in JCI CAN TAKE UPTO 3-6 MONTHS. Q & SESSION",Buildops,,50/50 ,Fire & Security,,Iscala,Other,,17567426141;17600450985;17764114711;25409495468;29123622245;41356078766;41626110584
