Record ID,Company name,Phone Number,Company owner,Lead Status,Clay score,Country,Associated Note,Current Software ,Current Software Contract End Date,Core service,Industry_,Accounting software (US),Accounting Software (UK and ANZ),Accounting Software UK,Client Use Case,Associated Note IDs
23209611848,"Colonial Fire Protection Systems, Inc.", +1 585-381-7362,Jack Young,Customer,110,United States,,Service Trade,,50/50 ,Fire,,,,,
22976468148,Procon Fire & Safety, +1 314-205-1248,Paxton Rice,Live deal,110,United States,,,,Service & Maintenance,Fire,,,,,
22699153928,Korsmeyer Fire Protection, +1 573-659-8805,Jack Young,Customer,110,United States,software - servicetrade - several years - he was KDM - user friendly- been very pleased  - AFSA - send invite - 50/50 - 20 - didn't have any issues so far,Other,,Service & Maintenance,Fire,QB desktop,,,,60063492399
22699171881,Capitol Fire Sprinkler Co Inc, +1 718-533-6800,Sophie Parker,Live deal,110,United States,,,,50/50 ,Fire,,,,,
22372137645,Nova Fire Protection Inc, +1 847-885-1605,Jack Young,Customer,110,United States,,Other,,50/50 ,Fire,Computer Eaze,,,,
20375708204,Interstate Fire Protection, +1 603-356-2407,Sophie Parker,Live deal,110,United States,reached out to mike over email to set up a call to get status update,Service Trade,,50/50 ,Fire,,,,,78647647752
25752263303,Veteran Fire & Backflow, +1 816-815-0825,Paxton Rice,Customer,105,United States,,,,Service & Maintenance,Fire,,,,,
25732911260,Frontier Fire Service L.L.C.,832-373-9630,Daniela Richter,Customer,105,United States,,Other; Service Fusion,,Service & Maintenance,Other,QB online,,,,
25747748106,Sure Fire Protection, +1 510-490-7873,Victoria Bradbury,Live deal,105,United States, @Victoria Bradbury did you source this yourself?,Service Trade,,Service & Maintenance,Fire,,,,,74605820290
25315864867,Shield Fire Protection Inc, 949.388.6556,Tommy Haake,Live deal,105,United States,"Discovery script - Billy Source: Met with: Users:  12 techs + 5 office Pains: Accounting:  QBO Software: ST Type: Services: Timeline: Next Step: Follow Up Email Sent: Next Step Booked: 10th october it's up - Struggles/Needs: told me ST is revamping their inspection platform but wont be rolled out until January -not using the inspection side of ST because he says it’s terrible -business is primarily inspections and need an intuitive platform -iphone app - no tablets -photos of inspections -help with compliance engine -help with reporting and ability to adjust reports after inspection -multiple techs to work on same job Services Offered: sprinkler, hydrants, pumps, and standpipes Date: 8/6 @ 3pm MST",Service Trade,,Service & Maintenance,Fire,QB online,,,,85165104897
25110621306,Regal Fire Protection, +1 440-462-8683,Lacy Radziej,Live deal,105,United States,"meeting with Steve - accounting person couldnt make it today looked into custom software - hes used ST PDF & shared cal extensive growth in the last 7 months due to contract work (CHMS? - 13 buildings for them right now) install, inspections QB desktop didnt catch how many techs - 3 trucks right now app is huge - reports is huge in the field - signature (SOD payment?) streamlining for the techs - less for steve to do at the end of the day workflow - AHJs of the world, invoice, compliance engine - some but not all steve has his admin do the compliance engine - but he also helps when needed 1 guy - fire tech training - license other guys are in the program right now 3 techs, 2 back office, and the owner (steve);Regal Fire – Notes Founded: 2023 Primary focus: Inspection & service work (fire protection industry) Software: Using a custom in-house platform for the last 4 months Handles tracking, paperwork, invoicing Developed over 7 months by a friend Fully tablet-based for field use Technician workflow: Issued tablets for all tasks Platform built to streamline technician duties Industry knowledge: Familiar with platforms like ServiceTrade Chose custom solution tailored to their operations Where Work Comes From Cintas // 3rd party Vendors so they are sub contracted.",None (N/A),,Service & Maintenance,Fire,QB desktop,,,,84661113958;77680958281
23952474496,Cache Valley Fire Protection, +1 435-770-0852,Hunter Higgins,Customer,105,United States,,,,Service & Maintenance,Fire,,,,,
22248520208,"FirePro Tech, LLC.", +1 832-674-7896,Paxton Rice,Customer,105,United States,,,,50/50 ,Other,,,,,
22248557605,Fulshear Fire & Sprinkler LLC, +1 281-581-0828,Daniela Richter,Customer,105,United States,,Service Trade,,Service & Maintenance,Other,,,,,
21659880524,Majestic Fire Sprinkler Service, +1 747-262-1300,Scott MacRitchie,Customer,105,United States,,None (N/A),,50/50 ,Fire,QB desktop,Quickbooks Desktop,,,
19026010262,Huser Fire Fighting Equipment, +1 503-248-1948,Victoria Bradbury,Customer,105,United States,,Service Trade,,Service & Maintenance,Fire,QB desktop,Quickbooks Desktop,,,
18749948053,Olympic West Fire Protection, +1 480-968-9634,Scott MacRitchie,Customer,105,United States,"GM Ryan has meeting with Parent Company on the 28th. Turns out they have 5 branches, but want to with Arizona (21 user) This could turn into much more if we get this over the line.",Service Trade,,50/50 ,Fire,Foundation,Foundation,,,76822210311
32538028684,Tomasella's Fire Protection,,Sophie Parker,Live deal,100,United States,,,,Service & Maintenance,Fire,,,,,
30665025555,Homer Fire Protection,17036468290,Tommy Haake,Customer,100,United States,,,,50/50 ,Fire & Security,QB online,,,,
25736228694,Freedom Fire LLC, +1 888-540-3301,Sophie Parker,Customer,100,United States,Calling tomorrow she said,,,Service & Maintenance,Fire,,,,,78926193757
25747902295,"Sloop Fire Extinguishers Sales & Service, Inc.", +1 336-882-3855,Hunter Higgins,Customer,100,United States,,,,Service & Maintenance,Fire,,,,,
25749292720,Action Fire Protection, +1 888-423-4474,Victoria Bradbury,Customer,100,United States,,Inspect Point,,50/50 ,Fire,,,,,
25778759541,LeatherHead Fire Co., +1 432-888-6740,Regan Ostler (Deactivated User),Customer,100,United States,,Custom Software,,Service & Maintenance,Fire,,,,,
25489572268,Inland Fire Service & Safety,,Victoria Bradbury,Customer,100,United States,Follow up on 17th with aaron and say you want to talk on the 23rd,None (N/A),,Service & Maintenance,Fire,QB online,,,,66396342156
25112439044,Pipco Companies, +1 309-692-4060,Paxton Rice,Customer,100,United States,,Service Trade,,Service & Maintenance,Fire & Security,Sage 300,,,,
25089404948,EPS, +1 614-834-9126,Paxton Rice,Customer,100,United States,,,,50/50 ,Fire & Security,,,,,
22988903708,Aish Fire Protection Co., +1 732-367-1444,Chandler Sanders,Live deal,100,United States,"135 pricing and 4x - next step is with boss to see if he likes it and wants to schedule in some time. follow up end of week.;Smart service- not great, just not very dted doesn't have a lot of what they need from it. Specifically doing reports and things like that. Use it to schedule posting work orders to billing through QuickBooks issue is its setup to do the billing, but its not easy to use to the billing side of things. -Have 4 people in the back office and 5 or 6 out in the field QuickBooks desktop- Middle of the process on new software. -just her, best email Rebecca@aishfireprotection.com _office Manager Ember and another one it might have been us. -Profit zoom is the other one she was looking at",Other,,Service & Maintenance,Fire,,,,,82841231632;81955629914
22699424064,Brendle Sprinkler Company Inc, +1 334-270-8571,Jack Young,Customer,100,United States,sent a goody gift to charles today;Charles t Bierlair is service and inspections manager Larry Munroe is inspections manager,,,50/50 ,Fire,,,,,74724916831;59645680959
30792132176,Fire Extinguisher Service and Inspection In Tampa, +1 813-228-8283,Daniela Richter,Customer,95,United States,,,,Service & Maintenance,Fire with Security,,,,,
30779064239,Bear Fire Protection Inc., +1 210-281-4156,Daniela Richter,Customer,95,United States,,Inspect Point,,Service & Maintenance,Fire,,,,,
30790432013,Fire System solutions, +1 559-275-4894,Victoria Bradbury,Live deal,95,United States,"Outbound Discovery Booked - NFPA Lead Company: Fire System solutions Software: Building Reports & Em Software Accounting: QB Desktop Struggles/Needs: Using EM Software for service tickets and scheduling, and Building Reports for inspection reports. Said they haven’t been able to find a platform that does both scheduling and reports in one place. Users: 34 total – 20 techs, 14 office Service/Install: Full-service fire protection – extinguishers, sprinklers, alarms, suppression Commercial/Residential: commercial Date: 7/29 Booked with:@paxton  meeting is with with Jorge and Ben (both owners);Texted Jorge: Texted Jorge ""Hey Jorge! Paxton, our account executive, is getting everything set up now to walk you through the platform. Looking forward to meeting you both in about an hour!"";Texted Jorge: ""Hey Jorge! It's Victoria with uptick. I just wanted to confirm you're able to make the meeting tomorrow at 10:30 pt? I noticed Ben accepted it. Let me know if you need to reschedule."" he replied ""yes"";jorge moran stopped at our booth at nfpa;Ben fitzgerald added me on linkedin",Building Reports; Other,,Service & Maintenance,Fire,QB online,,,,84634971301;84628266400;84551403136;81964773195;80852325408
30377599254,Jersey Fire Protection Corp., +1 856-219-3298,Chandler Sanders,Live deal,95,United States,"Outbound Discovery Booked Company: Jersey Fire Software: Inspect Point Accounting: QBO Struggles/Needs: Looking for an all-in-one platform where she can schedule, invoice, see how the techs are performing, price out jobs, keep track of sales, etc. Didn't give me pains on inspect point. She is frustrated with QuickBooks because it doesn't have the capabilities she wants ex: scheduling and pricing out the jobs. She needs a software that is gonna do it all. Users: 10 Services Offered: Date: August 5th @10am est Booked With:@Hunter Higgins Hubspot Link:https://app.hubspot.com/contacts/4454113/record/0-2/30377599254",Inspect Point,,50/50 ,Fire,QB online,,,,84740565422
30373892923,Safety Signal, +1 508-376-2238,Chandler Sanders,Live deal,95,United States,135 pricing,,,50/50 ,Fire & Security,,,,,82896391483
30375316367,Fidelity Burglar & Fire Alarm, +1 215-224-1077,Alex Yung,Live deal,95,United States,,,,50/50 ,Fire & Security,,,,,
26881498277,Exit Pro Services, +1 678-943-6570,Hunter Higgins,Customer,95,United States,,,,Service & Maintenance,Fire,,,,,
26880101235,"Advanced Fire Systems, Inc.", +1 239-573-1100,Tommy Haake,Live deal,95,United States,,,,50/50 ,Fire,,,,,
26879788109,Falcon Fire Protection, +1 517-764-1332,Paxton Rice,Customer,95,United States,,,,50/50 ,Fire,,,,,
26871490660,Allstate Fire Equipment Midwest, +1 816-463-2672,Paxton Rice,Live deal,95,United States,,,,50/50 ,Fire,,,,,
25737313821,Spartan Fire Protection, +1 832-904-9086,Regan Ostler (Deactivated User),Live deal,95,United States,,Other,,50/50 ,Other,Other,,,,
25150146469,Citation Fire & Safety, +1 502-367-2239,Scott MacRitchie,Customer,95,United States, @Chris Gibb unless I'm missing something this didn't appear in our list of inbound contacts in the marketing dashboard. Struggling to understand why?,,,50/50 ,Fire,,,,,64025513794
23954813992,"Pass Fire Protection, LLC", +1 602-833-9117,Jack Young,Customer,95,United States,,Other,,50/50 ,Fire,,,,,
23931832868,"Alarmspecialists, Inc.", +1 303-986-5900,Daniela Richter,Live deal,95,United States,,Service Trade,,50/50 ,Fire & Security,,,,,
22998370575,Mid-South,662-892-8723,Tommy Haake,Customer,95,United States,,Service Trade,,50/50 ,Fire,,,,,
22273938269,Shipman Fire, +1 682-223-1922,Paxton Rice,Customer,95,United States,,,,50/50 ,Other,QB desktop,,,,
21526621522,Critical Fire Protection,,Scott MacRitchie,Customer,95,United States,,None (N/A),,Service & Maintenance,Fire,QB online,,,,
22014669434,Jay L Harman Fire Equipment Co, +1 915-533-7021,Scott MacRitchie,Customer,95,United States,Here's a note,Service Trade,,50/50 ,Other,QB desktop,,,,76426570654
33361089121,Metro Fire Control,,Paxton Rice,Live deal,90,United States,,,,50/50 ,Fire,,,,,
30781057598,ASAP Fire Protection, +1 346-537-3473,Daniela Richter,Live deal,90,United States,,Inspect Point,,50/50 ,Fire,,,,,
30785918755,Leaders LA Fire Sprinklers & Hood Cleaning, +1 213-320-5234,Victoria Bradbury,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,
30782141714,Atlas Fire Sprinkler Systems Long Beach, +1 562-609-4274,Victoria Bradbury,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,
30786383922,Folks Fire Alarm Inc, +1 512-963-0039,Daniela Richter,Live deal,90,United States,,,,50/50 ,Other,,,,,
30787777317,Rightaway Fire Protection, +1 562-451-4941,Victoria Bradbury,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,
30798628485,Rivers Fire Protection, +1 213-693-1189,Tommy Haake,Customer,90,United States,,Uptick,,50/50 ,Fire,,,,,
30797703095,Victory Fire Protection, +1 951-524-7621,Chandler Sanders,Customer,90,United States,,,,50/50 ,Fire,,,,,
30789287549,Toucan Fire Protection, +1 209-789-3849,Chandler Sanders,Customer,90,United States,,,,50/50 ,Fire,,,,,
30367897194,Cain & Sons Fire Equipment, +1 973-227-2277,Tiernan Day,Customer,90,United States,,,,50/50 ,Fire,QB online,,,,
30377659212,Roget fire protection llc, +1 617-774-9302,Tiernan Day,Live deal,90,United States,,,,50/50 ,Fire,,,,,
26871495255,FFP Fire Protection, +1 352-345-2314,Tommy Haake,Live deal,90,United States,,,,50/50 ,Fire,,,,,
26877104423,Virginia Fire Protection Services, +1 276-637-1012,Tommy Haake,Customer,90,United States,,,,50/50 ,Fire,,,,,
26875806536,Alpha Fire Sprinkler Co, +1 312-487-1654,Paxton Rice,Customer,90,United States,,Inspect Point,,50/50 ,Fire,,,,,
26873483851,Madison Extinguisher Service & Safety, +1 608-347-3814,Lacy Radziej,Live deal,90,United States,,Inspect Point,,Service & Maintenance,Fire,QB online,,,,
26876945032,Foster Fire Protection, +1 660-565-2232,Lacy Radziej,Live deal,90,United States,,,,50/50 ,Fire,,,,,
26880560455,Lucas Fire and Safety, +1 765-652-0838,Lacy Radziej,Live deal,90,United States,,,,50/50 ,Fire,,,,,
23949911583,Saguaro Fire Protection LLC, +1 480-299-5963,Daniela Richter,Customer,90,United States,,,,50/50 ,Fire,,,,,
23210348681,Allied Fire Protection, +1 701-232-7008,Scott MacRitchie,Customer,90,United States,"DISCOVERY RUN Customer/Location: Personnel/Title: Event: Lead Source: AFSA43 Result: Reason: Next Step: Meeting Summary Core Business/When They Started: All displines Size of Business/Techs vs. Office: 6 in the the field, 2 in office 15 total in business, but other half is contract Current Software, Operations: Operational Process, Current State: Current Software, Accounting: Likes About Current: Dislikes About Current: Gotta have it feature, that I don't have now: -needs to be fluid across all disciplines and workflows Product Blocker: Timeline to Purchase/Have they been looking?:",Inspect Point,,50/50 ,Fire,QB desktop,,,,60874199982
21576174641,Southeastern Fire & Safety, +1 508-995-6167,Sophie Parker,Customer,90,United States,,Service Trade,,50/50 ,Fire,,,,,
21659852920,Foothill Fire Protection, +1 707-615-3806,Scott MacRitchie,Live deal,90,United States, @Anthony Del Mastro FYI,Service Trade,,50/50 ,Fire,Other,,,,55316029961
19705541478,Sapphire Integrated Protection,,Scott MacRitchie,Customer,90,United States,,None (N/A),,Service & Maintenance,Fire,Xero,Xero,,,
19618471261,Chimney and Fire Protection Services, +1 412-428-3708,Scott MacRitchie,Customer,90,United States,,Joyfill,,50/50 ,Fire,QB desktop,Quickbooks - Desktop ,,,
30791979294,Guardian Security | Tacoma, +1 253-564-4564,Victoria Bradbury,Live deal,85,United States,,,,50/50 ,Security & Alarms,,,,,
30789133586,National Extinguisher Service, +1 541-507-0300,Victoria Bradbury,Live deal,85,United States,,,,50/50 ,Fire,,,,,
25752108397,"VSC Fire & Security, Inc.", +1 301-575-1500,Tommy Haake,Live deal,85,United States,,,,50/50 ,Fire & Security,,,,,
23168989861,United Sprinkler Co., +1 336-228-0287,Jack Young,Customer,85,United States,,,,50/50 ,Fire,,,,,
22859784769,FAST Fire, +1 720-480-4647,Daniela Richter,Live deal,85,United States,,Simpro; Building Reports,,50/50 ,Fire & Security,QB online,,,,
20562508144,Thompson Safety - Tampa Bay, +1 877-506-4291,Scott MacRitchie,Customer,85,United States,"Already in Hubspot - merge with scott's;they have their own software, worth keeping in touch with;Customer/Location: Thompson Safety Event: Discovery Call Lead Source: LinkedIn Sales Nav Result: Meeting Summary Core Business: January of 2018 - Started January of 2024 - 300 employees, 22 cities and 100 million Rev Extinguishers everywhere, only a few branches are full fledged fire Size of Business: 300 Employees Current Software, Operations: Sage 300 - Service Manager from Technisoft, forms/templates to use the reports Current Software, Accounting: Sage 300 Likes about current: simple and efficient   Dislikes about current: Gotta have it feature, that I don't have now:",Custom Software,,Service & Maintenance,Fire with Security,Sage 300,,,,60944407914;57055690531;54788633876
30792872022,"QRF Systems, LLC", +1 706-466-7009,Chandler Sanders,Live deal,80,United States,"Here's the information filled into your template based on the recap and key points you provided: DISCOVERY RUN Customer/Location: QRF Systems, LLC Personnel/Title: David (No title specified, but implied owner/manager) Event: Discussion about QRF's challenges and Uptick's solutions Lead Source: Not specified in the provided text Result: David expressed interest; agreed to a more in-depth demonstration Reason: QRF needs more efficient invoicing, inspection scheduling, and compliance reporting. Next Step: Hunter to provide a follow-up demo focusing on project management and estimating; next meeting scheduled for Thursday at 11 AM. Meeting Summary Core Business/When They Started: Not explicitly stated, but they deal with inspections, monitoring services, and compliance reporting. Size of Business/Techs vs. Office: Currently 3-4 people (due to loss of business partners); David plans to scale up to 3-4 technicians in the next 2-3 months. Current Software, Operations: Not specified by name, but inefficient for invoicing monitoring services and scheduling inspections; struggles with integration to a compliance engine. Field Devices, IOS or Android: Not specified. Operational Process, Current State: Inefficient invoicing and inspection scheduling, lacking reminders and calendar integration. Difficulty working with current compliance engine integration. Inspections quoted with: Not specified, but current process is inefficient. Tracking recurring inspections with: Not specified, but current process is inefficient and lacks reminders/calendar integration. Schedule with: Not specified, but current process is inefficient and lacks reminders/calendar integration. Techs run inspections/create reports on: Not specified. Deficiencies are marked and tracked with: Not specified. Deficiencies are quoted with: Not specified. Current Software, Accounting: Not specified. Forms vs. Prompts, do they require a format in their geo? Not specified. Likes About Current: Not specified (implied dissatisfaction). Dislikes About Current: Staffing issues; inefficient invoicing and inspection scheduling; difficult compliance engine integration. Gotta have it feature, that I don't have now: More efficient invoicing, streamlined inspection scheduling with reminders/calendar integration, easier compliance reporting integration, project management, estimating capabilities. Product Blocker: Current small team size (3-4 people), but David plans to scale up to 3-4 technicians, which would make Uptick a good fit. Timeline to Purchase/Have they been looking?: David plans to scale up in 2-3 months, at which point he believes Uptick would be a good fit. He is open to the solution. What are they paying now? Have they received quotes from a similar tier of platform?: Not specified what they are currently paying or if they've received quotes from similar platforms. Uptick's pricing model is a minimum of $795/month for up to 5 users, with additional users costing $159/month.",Honeywell CLSS,,Installation,Fire & Security,QB online,,,,84550207013
30368791825,Harrell Automatic Sprinkler Co Inc, +1 570-759-0161,Alex Yung,Live deal,80,United States,,,,50/50 ,Fire,,,,,
30375970835,V&S Fire Safety, +1 844-387-3473,Alex Yung,Live deal,80,United States,,Other,,Installation,Security & Alarms,QB online,,,,
26876326829,FASCO - Fire and Security Company, +1 317-412-5539,Lacy Radziej,Live deal,80,United States,":us: Outbound Discovery Booked :us: Company: FASCO Software: PDF forms - compliance engine Accounting: Quickbooks Online Struggles/Needs: growing fast and need a portal to handle all the data, very interested in the NFPA forms, compliance engine, scheduling, etc Users: 7 techs, a couple back office Services Offered: sprinkler, alarms, extinguishers - service, install, maintenance - & security   Date: 8/7 at 9am central (pax and i will take it at the airport and i warned him and the owners) Booked With: @Paxton & both owners",None (N/A),,Service & Maintenance,Fire & Security,QB online,,,,84809094298
32995212637,"Jacob-Dietz, Inc", +1 317-631-2304,Jack Young,Customer,80,United States, @Scott MacRitchie can this be taken off 'on hold'?,Formlink,,50/50 ,Fire,QB desktop,,,,78286910298
30791979285,Midwest Protection Services Inc, +1 920-687-8990,Tiernan Day,Customer,75,United States,Connected W/Justin on LI and then Justin went in a sent a Demo Request.,Unknown; Other,,Installation,Fire & Security,QB online,,,,78301662009
22981700274,Peach State Fire Inc, +1 770-536-3948,Tommy Haake,Customer,75,United States,Also can call office and ask for Billy Whitmire,None (N/A),,Service & Maintenance,Other,,Quickbooks,,,61029220113
23840462348,Smart Systems Technology Inc. (SST) - Irvine, +1 949-367-9375,Victoria Bradbury,Live deal,75,United States,"Discovery script - Billy Source: victoria Met with: service manager - manages the fire alarm and access control - commercial security and insectio Users: 2 inspection techs, 8 service techs, 4 office staff, 5 including him Pains: using windows folders, tracking on excel forms - not seeing what is going on in the field with their techs - excel form at the end of an inspection - ease of use - database is clinky - they are all on excel - can't input all new data Software: Accounting: great plains Type: Services: alarm and security Timeline: a hundred hoops to jump through - Next Step: Follow Up Email Sent: Next Step Booked: audio and video is one brother - includes production homes -inventoryk payroll - using GP - taxes - would need to see it first fighting techs for pictures Struggles/Needs: Currently relying on a dated internal system created by the ops manager years ago. No inspection-specific software in place. Accounting software is also in transition. Likely opportunity to modernize operations and improve tech tracking and reporting.;Company: Smart Systems Technology Inc. Software: Custom in-house tracking system Accounting: Great Plains - switching to another software soon Struggles/Needs: Currently relying on a dated internal system created by the ops manager years ago. No inspection-specific software in place. Accounting software is also in transition. Likely opportunity to modernize operations and improve tech tracking and reporting. Users: 8 techs Services Offered: Alarm and Security Date: 7/31 Booked With: @Billy Remmington Hubspot Link: https://app.hubspot.com/contacts/4454113/record/0-2/23840462348;""Perfect, I'll send the invite over for tomorrow at 10am PT. Just a couple of things to help prep for the demo: -How many techs do you have? -Last time we talked, you mentioned using custom software, what's the main reason you're looking to switch? -Do you use any accounting software?""",None (N/A),,Service & Maintenance,Security & Alarms,Other,,,,84720359091;84660706357;84657966896
29932219403,VetFirePro,,Scott MacRitchie,Customer,70,United States,"DISCOVERY RUN Customer/Location: Personnel/Title: Event: Lead Source: Result: Reason: Next Step: Meeting Summary Core Business/When They Started: All in one 65% / 35% - Project vs. Service Inspection Size of Business/Techs vs. Office: 8 in the field / 4 need access (4 time card) 4 in the office Current Software, Operations: No software, Quickbooks Only Smart sheets Field Devices, IOS or Android: Android for the inspector Operational Process, Current State: Inspections quoted with: Word Docs Tracking recurring inspections with: Word, unstructured Schedule with: Text message Techs run inspections/create reports on:  PDF Editor Deficiencies are marked and tracked with: Deficiencies are quoted with: Current Software, Accounting: Quickbooks Desktop Likes About Current: Dislikes About Current: Gotta have it feature, that I don't have now: -Lost jobs after proposal side -Inspections -Compliance engine -AES forms -Wants an all in one Product Blocker: Timeline to Purchase/Have they been looking?: ASAP",,,,,,,,,71510856029
31504532009,Metro Fire & Safety,(770) 267-9127,Tommy Haake,Customer,65,United States,,,,50/50 ,Fire & Security,,,,,
20674214558,Watt-Tek,,Scott MacRitchie,Customer,60,United States,,None (N/A),,Service & Maintenance,Fire & Security,QB online,Quickbooks Online,,,
21658104145,Bennett Fire & Security,951-377-0586,Anthony Del Mastro,Customer,50,United States,,Other,,Service & Maintenance,Fire,,,,,
19548214156,Economy Fire,,Scott MacRitchie,Customer,50,United States,,None (N/A),,Service & Maintenance,Fire,QB online,Quickbooks Online,,,
21576055321,"Great Lakes Building Systems, Inc.",(716) 892-5253,Sophie Parker,Customer,45,United States,,Other,,Service & Maintenance,Fire,,,,,
22394928132,Geyer Fire,1 (800) 477-4955,Lacy Radziej,Customer,40,United States,"12 years as a cpa  at EY - 2011 took over this - ex husband and her had a plumbing biz and opportunities came to jump into fire - been running this - loves the industry - 6/7 years w ST - 6 techs - more in the back office - likes our form builder, likes the backend customer breakdown - likes the analytics as well - dashboard being easier to see is also what brought her here - forms, analytics, quoting -quote thru service trade - integrate with hubspot - shes on hubspot - zapier and ST - has to review the ST contract and wants to move forward - 7 techs, 4 back office - 11 ish - 1463 monthly - not scared by it;Outbound/Inbound Discovery Booked Company: Geyer Fire Software: Service Trade Accounting: Quickbooks - verifying desktop v online Struggles/Needs: client portal would be great - she spends alot of time getting reports out. I am getting more needs on the call - has told us time and time again that she likes ST but requested pricing via our website after we had a call yesterday. Users: 6+ Services Offered: sprinklers, extinguishers, alarms - install, service, maintenance Date: 8/1 Booked With: @Paxton & Rosemily (owner) Hubspot Link: https://app.hubspot.com/contacts/4454113/record/0-2/22394928132;(317) 490-9357 rosemilly;try (317) 340-2604 too",Other,,Service & Maintenance,Fire,QB online,,,,84838201373;84713823910;58354577945;58274524053
33723500631,Trion Fire Protection,,Tommy Haake,Live deal,35,United States,,,,Other,Other,,,,,
31779707260,Bighorn Fire,,Daniela Richter,Customer,35,United States,,,,Other,Other,,,,,
31051054223,Blue Jack Fire,,Scott MacRitchie,Customer,35,United States,"Thai - CTO Brent - AAA Lyn - CFO Bluejack Mary - Account AA Brandon - Sprinkler Inspections and Service Heather - AAA Vance - AAA Prez Tina - Scheduling, wants a full session Chris - Fire alarm at Protech Oscar. - Fire alarm at Protech Marc - Chase Fire Operations, NYC focused They liked: -Forms -Prefill Forms -Floor Plans/Plotting Devices Wants to see more of: Scheduling and Projects",,,Service & Maintenance,Fire,,,,,76578775307
29778816056,American Fire Safety,,Hunter Higgins,Customer,35,United States,,,,,Fire,,Quickbooks,,,
22699202072,AllSouth Sprinkler,(770) 925-9099,Jack Young,Customer,30,United States,10 a ET,Formlink,,Service & Maintenance,Fire,Computer Eaze,,,,61502273812
25234942537,National Park Service, +1 202-208-1530,Hunter Higgins,Customer,25,United States,,,,,Fire,,NA,,,
